* python3-absl 2.1.0 2.1.0 Up-to-date
    - python3-cmake: upgrade 3.27.0 -> 3.27.2 | 3.27.2 | U | Default | 2023-08-16
    - python3-cmake: upgrade 3.26.4 -> 3.27.0 | 3.27.0 | U | Default | 2023-08-01
    - python3-cmake: upgrade 3.26.3 -> 3.26.4 | 3.26.4 | U | Default | 2023-06-14
    - python3-cmake: upgrade 3.26.1 -> 3.26.3 | 3.26.3 | U | Default | 2023-04-17
    - python3-cmake: upgrade 3.26.0 -> 3.26.1 | 3.26.1 | U | Default | 2023-04-05
    - python3-cmake: upgrade 3.25.2 -> 3.26.0 | 3.26.0 | U | Default | 2023-03-23
    - python3-cmake: New recipe | 3.25.2 | U | Default | 2023-03-10
* python3-cmd2 2.5.11 3.0.0 Not updated
    - python3-cmd2: upgrade 2.5.9 -> 2.5.11 | 2.5.11 | U | Default | 2025-02-12
    - python3-cmd2: upgrade 2.5.8 -> 2.5.9 | 2.5.9 | U | Default | 2025-01-25
    - python3-cmd2: upgrade 2.5.7 -> 2.5.8 | 2.5.8 | U | Default | 2024-12-24
    - python3-cmd2: Upgrade 2.4.3 -> 2.5.7 | 2.5.7 | U | Default | 2024-11-27
    - python3-cmd2: upgrade 2.4.2 -> 2.4.3 | 2.4.3 | U | Default | 2023-02-08
    - python3-cmd2: upgrade 2.4.1 -> 2.4.2 | 2.4.2 | U | Default | 2022-07-24
    - python3-cmd2: upgrade 2.4.0 -> 2.4.1 | 2.4.1 | U | Default | 2022-04-22
    - python3-cmd2: Upgrade 2.3.3 -> 2.4.0 | 2.4.0 | U | Default | 2022-02-24
    - python3-cmd2: upgrade 2.3.1 -> 2.3.3 | 2.3.3 | U | Default | 2021-12-08
    - python3-cmd2: Upgrade 2.3.0 -> 2.3.1 | 2.3.1 | U | Default | 2021-11-20
    - python3-cmd2: upgrade 2.2.0 -> 2.3.0 | 2.3.0 | U | Default | 2021-11-17
    - python3-cmd2: upgrade 2.1.2 -> 2.2.0 | 2.2.0 | U | Default | 2021-09-28
    - Initial import at master release start. | 2.1.2 | U | Default | 2021-09-24
* python3-colorama 0.4.6 0.4.6 Up-to-date
    - python3-colorama: Upgrade 0.4.5 -> 0.4.6 | 0.4.6 | U | Default | 2022-10-26
    - python3-colorama: upgrade 0.4.4 -> 0.4.5 | 0.4.5 | U | Default | 2022-07-02
    - Initial import at master release start. | 0.4.4 | U | Default | 2021-09-24
* python3-constantly 23.10.4 23.10.4 Up-to-date
    - python3-constantly: update to version 23.10.4 | 23.10.4 | U | Default | 2023-12-22
    - Initial import at master release start. | 15.1.0 | U | Default | 2021-09-24
* python3-covdefaults 2.3.0 2.3.0 Up-to-date
    - python3-covdefaults: Add initial recipe 2.3.0 | 2.3.0 | U | Default | 2023-06-26
* python3-coverage 7.8.0 7.13.0 Not updated
    - python3-coverage: upgrade 7.7.1 -> 7.8.0 | 7.8.0 | U | Default | 2025-04-07
    - python3-coverage: upgrade 7.6.12 -> 7.7.1 | 7.7.1 | U | Default | 2025-03-25
    - python3-coverage: Upgrade 7.6.10 -> 7.6.12 | 7.6.12 | U | Default | 2025-02-13
    - python3-coverage: upgrade 7.6.9 -> 7.6.10 | 7.6.10 | U | Default | 2025-01-02
    - python3-coverage: upgrade 7.6.2 -> 7.6.9 | 7.6.9 | U | Default | 2024-12-24
    - python3-coverage: upgrade 7.6.1 -> 7.6.2 | 7.6.2 | U | Default | 2024-10-14
    - coverage: Upgrade 7.6.0 -> 7.6.1 | 7.6.1 | U | Default | 2024-08-09
    - python3-coverage: upgrade 7.5.4 -> 7.6.0 | 7.6.0 | U | Default | 2024-07-15
    - python3-coverage: upgrade 7.5.3 -> 7.5.4 | 7.5.4 | U | Default | 2024-06-27
    - python3-coverage: upgrade 7.4.1 -> 7.5.3 | 7.5.3 | U | Default | 2024-06-12
    - python3-coverage: update to version 7.4.1 | 7.4.1 | U | Default | 2024-01-27
    - python3-coverage: upgrade 7.3.4 -> 7.4.0 | 7.4.0 | U | Default | 2024-01-02
    - python3-coverage: update to version 7.3.4 | 7.3.4 | U | Default | 2023-12-21
    - python3-coverage: upgrade 7.3.2 -> 7.3.3 | 7.3.3 | U | Default | 2023-12-19
    - python3-coverage: upgrade 7.3.1 -> 7.3.2 | 7.3.2 | U | Default | 2023-10-23
    - python3-coverage: upgrade 7.3.0 -> 7.3.1 | 7.3.1 | U | Default | 2023-09-20
    - python3-coverage: upgrade 7.2.7 -> 7.3.0 | 7.3.0 | U | Default | 2023-08-16
    - python3-coverage: upgrade 7.2.6 -> 7.2.7 | 7.2.7 | U | Default | 2023-05-31
    - python3-coverage: upgrade 7.2.5 -> 7.2.6 | 7.2.6 | U | Default | 2023-05-25
    - python3-coverage: upgrade 7.2.3 -> 7.2.5 | 7.2.5 | U | Default | 2023-05-09
    - python3-coverage: upgrade 7.2.2 -> 7.2.3 | 7.2.3 | U | Default | 2023-04-10
